Product ID,Name,Data Access URL,Manual URL (unstable),Dataset ID(s),Variables,time resolution,start time,lon min,lon max,lat min,lat max,Domain
GLOBAL_ANALYSISFORECAST_PHY_001_024,Global Ocean Physics Analysis and Forecast,https://data.marine.copernicus.eu/product/GLOBAL_ANALYSISFORECAST_PHY_001_024/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-001-024.pdf,cmems_mod_glo_phy_anfc_0.083deg_static,all,-,-,,,,,Physics
GLOBAL_ANALYSISFORECAST_PHY_001_024,Global Ocean Physics Analysis and Forecast,https://data.marine.copernicus.eu/product/GLOBAL_ANALYSISFORECAST_PHY_001_024/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-001-024.pdf,"cmems_mod_glo_phy-cur_anfc_0.083deg_P1D-m 
cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m 
cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m 
cmems_mod_glo_phy-wcur_anfc_0.083deg_P1D-m 
cmems_mod_glo_phy_anfc_0.083deg_P1D-m ",all,1D,2020,-28.0,-12.0,8.0,20.0,Physics
GLOBAL_ANALYSISFORECAST_PHY_001_024,Global Ocean Physics Analysis and Forecast,https://data.marine.copernicus.eu/product/GLOBAL_ANALYSISFORECAST_PHY_001_024/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-001-024.pdf,"cmems_mod_glo_phy-cur_anfc_0.083deg_PT6H-i
cmems_mod_glo_phy-so_anfc_0.083deg_PT6H-i
cmems_mod_glo_phy-thetao_anfc_0.083deg_PT6H-i
cmems_mod_glo_phy-thetao_anfc_0.083deg_PT6H-i
cmems_mod_glo_phy_anfc_0.083deg_PT1H-m
cmems_mod_glo_phy_anfc_merged-uv_PT1H-i",all,1H,2020,-28.0,-12.0,8.0,20.0,Physics
GLOBAL_MULTIYEAR_PHY_001_030,Global Ocean Physics Reanalysis,https://data.marine.copernicus.eu/product/GLOBAL_MULTIYEAR_PHY_001_030/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-001-030.pdf,cmems_mod_glo_phy_my_0.083deg_P1D-m cmems_mod_glo_phy_myint_0.083deg_P1D-m,all,1D,2014,-28.0,-12.0,8.0,20.0,Physics
GLOBAL_MULTIYEAR_PHY_001_030,Global Ocean Physics Reanalysis,https://data.marine.copernicus.eu/product/GLOBAL_MULTIYEAR_PHY_001_030/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-001-030.pdf,cmems_mod_glo_phy_my_0.083deg_P1M-m cmems_mod_glo_phy_myint_0.083deg_P1M-m cmems_mod_glo_phy_my_0.083deg-climatology_P1M-m,all,1M,2014,,,,,Physics
GLOBAL_MULTIYEAR_PHY_001_030,Global Ocean Physics Reanalysis,https://data.marine.copernicus.eu/product/GLOBAL_MULTIYEAR_PHY_001_030/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-001-030.pdf,cmems_mod_glo_phy_my_0.083deg_P1M-m cmems_mod_glo_phy_myint_0.083deg_P1M-m,all,1M,1993,-28.0,-12.0,8.0,20.0,Physics
MULTIOBS_GLO_PHY_SSS_L3_MYNRT_015_014,SMOS CATDS Qualified (L2Q) Sea Surface Salinity product,https://data.marine.copernicus.eu/product/MULTIOBS_GLO_PHY_SSS_L3_MYNRT_015_014/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-015-014.pdf,cmems_obs-mob_glo_phy-sss_mynrt_smos_P1D,all,1D,2010,,,,,Physics
MULTIOBS_GLO_PHY_SSS_L4_MY_015_015,SSS SMOS L4 OI - LOPS-v2021,https://data.marine.copernicus.eu/product/MULTIOBS_GLO_PHY_SSS_L4_MY_015_015/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-015-015.pdf,cmems_obs-mob_glo_phy-sss_my_multi-oi_P1W,all,1D,2010,,,,,Physics
SEALEVEL_GLO_PHY_L4_NRT_008_046,Global Ocean Gridded L 4 Sea Surface Heights And Derived Variables Nrt,https://data.marine.copernicus.eu/product/SEALEVEL_GLO_PHY_L4_NRT_008_046/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-008-046.pdf,cmems_obs-sl_glo_phy-ssh_nrt_allsat-l4-duacs-0.25deg_P1D,all,1D,2022,,,,,Physics
SEALEVEL_GLO_PHY_L4_MY_008_047,Global Ocean Gridded L 4 Sea Surface Heights And Derived Variables Reprocessed 1993 Ongoing,https://data.marine.copernicus.eu/product/SEALEVEL_GLO_PHY_L4_MY_008_047/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-008-047.pdf,"cmems_obs-sl_glo_phy-ssh_my_allsat-l4-duacs-0.25deg_P1D 
cmems_obs-sl_glo_phy-ssh_myint_allsat-l4-duacs-0.25deg_P1D ",all,1D,1993,,,,,Physics
INSITU_GLO_PHYBGCWAV_DISCRETE_MYNRT_013_030,Global Ocean- In-Situ Near-Real-Time Observations,https://data.marine.copernicus.eu/product/INSITU_GLO_PHYBGCWAV_DISCRETE_MYNRT_013_030/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-013-030.pdf,"cmems_obs-ins_glo_phybgcwav_mynrt_na_irr 
cmems_obs-ins_glo_phybgcwav_mynrt_na_irr
cmems_obs-ins_glo_phybgcwav_mynrt_na_irr
cmems_obs-ins_glo_phybgcwav_mynrt_na_irr
cmems_obs-ins_glo_phybgcwav_mynrt_pointserie-latest_irr 
cmems_obs-ins_glo_phybgcwav_mynrt_profile-latest_irr 
cmems_obs-ins_glo_phybgcwav_mynrt_trajectory-latest_irr ",all,0,2024,,,,,"Physics, Biology"
